ville;city_uuid;membres_non_desservis;type
"NIAPRAHIO";35464226-df99-4b49-90a1-c5083e7ed2e1;5;ville_sans_zone
"GRABO";f296d80e-57f3-4e7d-bca7-b9c4af4fc3cf;5;ville_sans_zone
"Bodokro";64c5e0dc-c7fa-4812-b95a-1d8350ba008c;5;ville_sans_zone
"AGNI ASSIKASSO";cd30b7a9-9f85-446f-b2c8-ba032d00b66a;5;ville_sans_zone
"SERIHIO";753a8a9d-71dc-430e-8bba-e1147e92d534;5;ville_sans_zone
"Ahoué";bf368614-17c5-4196-b803-cbebce4209d3;5;ville_sans_zone
"Buyo (Côte d'Ivoire)";7eacf7f0-84d9-44b3-94b8-ba0ee887d024;5;ville_sans_zone
"GBIGBIKOU";2cd7712a-ca4c-48e0-9fd0-8742834232dc;5;ville_sans_zone
"Facobly";ee9a645f-640b-4173-a967-1836fc24693f;5;ville_sans_zone
"KEHI GBAHI";6e481835-4da4-4c41-babf-62f5b220d546;5;ville_sans_zone
"SONGON-TE";d559b690-b21d-4273-9f6a-6dd995eb1173;5;ville_sans_zone
"Yakassé-Feyassé";81b0eb76-b7ff-48f2-ac2e-337ff8bfe282;5;ville_sans_zone
"Irobo";d6488094-f192-49d8-8759-e677bd5af1e9;5;ville_sans_zone
"Tioro";2eadcea9-2424-485b-88d2-4cec0433c7c5;5;ville_sans_zone
"Kossou";c97a2999-9eed-4716-bc2b-02e8cfc20746;5;ville_sans_zone
"KOKUMBO";8eb8ee79-5aad-42a3-ac23-710c852070ea;5;ville_sans_zone
"ATTINGUIÉ";1577254a-4ee2-4266-a5be-6a908c31be2e;5;ville_sans_zone
"CHC";09213248-b742-4c27-8a0e-284920cfc64c;5;ville_sans_zone
"Koubi";e217e04d-de75-4d6e-86f0-9e259ed60651;4;ville_sans_zone
"TIEPA";854ea0d8-559b-4154-b951-08e5fcd349f5;4;ville_sans_zone
"Sinématiali";fdb631a9-a4f5-43dd-bd3a-bd66ed7392af;4;ville_sans_zone
"CHANTIER LADE";d185778f-5403-4506-81ee-155646313cab;4;ville_sans_zone
"BLAISEKRO";b0fb2a29-4b9b-45b2-a90c-eeaad5886fd7;4;ville_sans_zone
"KOKOUEZO";8d5d1282-1624-4bcd-8ff4-582b06ae5257;4;ville_sans_zone
"ZAGUINEU";8d807e2f-956d-43bd-a9cc-deef5b826ab7;4;ville_sans_zone
"PARIS LEONA";4bf158be-7ddb-4190-b392-d98320c6ac61;4;ville_sans_zone
"BELIER";f15d2eff-4464-4c0f-bfcb-edd0e789d506;4;ville_sans_zone
"ATTECOUBE ESPOIR";4718cf91-0616-4b6f-9c5d-2f51ed99acdf;4;ville_sans_zone
"GUEZEM";ffc6b3de-e504-4d0e-9457-66249910ac37;4;ville_sans_zone
"Timbé";51985f12-4959-433a-ba30-34999b9996ec;4;ville_sans_zone
"NEKA";19e0a168-562c-4202-b29f-9119627662bb;4;ville_sans_zone
"Kpapékou";11c19988-58c7-4cfd-9e80-20c83f47ffa1;4;ville_sans_zone
"Bouna";8d2572af-9f80-489b-9c00-c3d8fc5f6cc2;4;ville_sans_zone
"AKAFOUKRO";a7c80209-0f4b-4592-a5f3-85b37b59882d;4;ville_sans_zone
"COCODY-VILLAGE";515658e6-a728-48e8-bf59-0f27b924612d;4;ville_sans_zone
"Koffi Adoukro";8f673f40-f1f1-473c-9c59-ba1163b464ac;4;ville_sans_zone
"ABADJIN DOUME";b6dd3cdf-01cb-4512-bbbd-fb7754d6632a;4;ville_sans_zone
"PARA";d9c38700-3310-4dac-a37b-4e82ab25b609;4;ville_sans_zone
"Gbagbam";d61322db-0b85-41dd-b611-86394f445b53;4;ville_sans_zone
"DABAKALA";7b1453cd-fc6a-4ecc-bc08-88d4a85f1b48;4;ville_sans_zone
"Mahapleu";6858ded9-2850-4447-8246-4403b96692cd;4;ville_sans_zone
"PRODOMO";862e71ed-1256-46db-a519-cd2ed51f9c97;4;ville_sans_zone
"GOHITAFLA";3b9c25ed-f29f-408f-8992-8ba47f93eac0;4;ville_sans_zone
"BANGOLO";714ef53a-43ea-42b2-b615-bdf7d3d2b915;4;ville_sans_zone
"N'GATTAKRO";f32aa5f0-5a64-4b54-93c2-dcef76961b0a;4;ville_sans_zone
"Lazarekro";92e8c4d1-e6bc-4c53-a309-2e3c752df603;4;ville_sans_zone
"KLOPOU-FACOBLY";636e33fe-3229-4032-b5db-1e245ed36e5e;4;ville_sans_zone
"BANCO RESIDENTIEL";7d4b86c5-7407-4ddb-ab00-dc115eb27814;3;ville_sans_zone
"KOKOUMBO";4e7f0807-ead4-4ce1-866b-ea6728ea2f9c;3;ville_sans_zone
"Bouakro";20b73b51-7dc1-47a0-b3d5-79cf2a7808f1;3;ville_sans_zone
"M'BROU";783ed5d6-ca0d-4c24-8f14-208a6a4aaa2f;3;ville_sans_zone
"DERRIERE WHARF";403c9be6-4f79-4f5c-864d-7b8ba6e0e2c1;3;ville_sans_zone
"AKOUPÉ";471ed24d-2f0a-4076-af41-e7cf63447f71;3;ville_sans_zone
"VRIDI CIE";bc4cb396-5f5e-4088-a698-74b27418fb4d;3;ville_sans_zone
"Banguié2";b052a203-071f-4ee4-ab22-9eeb96eb28bc;3;ville_sans_zone
"ADJOUFOU";2b668f5d-c4fe-451e-b130-7dbe51e24dae;3;ville_sans_zone
"OUETOMBA";6d749ee7-9b55-46bd-b800-93df6e786760;3;ville_sans_zone
"GNATO";b39b5a6e-092a-412c-a15b-d6730cc0b79c;3;ville_sans_zone
"PORT BOUET CENTRE";84937ad7-df2a-44d0-ace4-ee9e092ecfbd;3;ville_sans_zone
"ADJAME HABITAT";9750a5cc-db45-4d81-9848-2cd9b86d2597;3;ville_sans_zone
"Koun-Fao";0425685c-0682-459e-9de1-26fd4cb196c9;3;ville_sans_zone
"Akakouamekro";0c2b90a2-92c6-4dcb-829e-9fece587fcd4;3;ville_sans_zone
"COCODY SAINT-JEAN";f5841540-6614-4e3e-a865-0f33dd8000ec;3;ville_sans_zone
"TCHEGBEKAHA";074b3b1d-3d36-4594-a403-59367d17387c;3;ville_sans_zone
"Aboisso-Comoé";389fa333-a58d-486f-949d-ca5581b74a19;3;ville_sans_zone
"Téapleu";cbf1611d-06a3-401d-9383-0e43d156a28b;3;ville_sans_zone
"DAGBAHIO CHANTIER";8308eb0b-cb32-45ab-8e3a-e1cdd32f53c6;3;ville_sans_zone
"Abikro";14e9e97b-95b2-4907-9b88-756bc92280f0;3;ville_sans_zone
"Dabouyo";409a1153-4e5b-4f89-949b-633e2c60c804;3;ville_sans_zone
"Ebilassokro";533d923f-5828-418a-845b-0f11f37ae778;3;ville_sans_zone
"ZINZENOU";ce6c0017-049b-46bc-8020-4659a605e01a;3;ville_sans_zone
"Yopougon Académie";63077acf-7fe1-4b62-855d-a595b0147490;3;ville_sans_zone
"KRISSERAHIO";b159b41b-4114-4a2b-834e-da71c2e1560f;3;ville_sans_zone
"ZAHIBOHIO S/P BAYOTA";5694c37b-585c-404f-9f8b-49aa3102baa4;3;ville_sans_zone
"Assinie-Mafia";5ae74a2c-e1d1-41fd-9a54-078463f69b3e;3;ville_sans_zone
"Tiéningboué";77ae1c80-7462-4552-98b2-d4a138bfcfef;3;ville_sans_zone
"Diamarakro";82b5ecf3-d197-4c79-946b-4f0cd0df3e09;3;ville_sans_zone
"Sirasso";855bc32b-8655-4eb7-9b08-9f468a6b31f8;3;ville_sans_zone
"Ando-Kékrénou";2a3762e6-0d6a-4945-992c-253649ff0a1f;3;ville_sans_zone
"INCHALLAH";5687b4f4-d515-4479-ab54-ef7a8d2a150a;3;ville_sans_zone
