ville;city_uuid;membres_non_desservis;type
"DAKOA";4b71a6d0-3e89-4131-95b0-01820b4b79d7;1;ville_sans_zone
"CANADA";3087a008-e6bd-492c-bb86-cc9065a1b593;1;ville_sans_zone
"YOPOUGON GESCO";f8f8e287-26cb-45ed-9e20-37f410738e55;1;ville_sans_zone
"Logoualé";06bb9a1d-0f08-4160-9220-e9dd67b43f2f;1;ville_sans_zone
"BAYEKOU BASSI";cec89828-b7a6-4527-b80e-d3379cce5b30;1;ville_sans_zone
"NEKEIDE";dc7eba41-c946-441f-9714-60461501277e;1;ville_sans_zone
"Bégouafla";63a8ff4a-08c1-4ddb-8548-6084ec28f524;1;ville_sans_zone
"COCODY ST-JEAN";2a9fc5e7-afe4-46f8-bb62-1b8be00a6d7c;1;ville_sans_zone
"PACOBO/TAABO";b1dce054-dd33-43cd-9763-0115bce04ec0;1;ville_sans_zone
"ZAGUEDIA";7ae23b6d-cb26-4c61-9708-4f74a68b08ee;1;ville_sans_zone
"GUEHIEBLY";f70cd6ef-8180-4ad7-ac82-8fbfd181091d;1;ville_sans_zone
"GAIZRA";a34b8a27-c2f0-4cf0-874c-80bfe608a3df;1;ville_sans_zone
"Yapokoi";d07a46c0-d9e6-4e9e-ad15-10dcb906ec14;1;ville_sans_zone
"KEITA";9c0e6c16-30cb-4768-bcfc-07d5a014c21e;1;ville_sans_zone
"ZAKARIA";749e5fe0-0ffb-45b5-b2de-42d111613bc3;1;ville_sans_zone
"MBRIMBO";c6a19a60-1f82-4651-897c-a145ddf12df7;1;ville_sans_zone
"GLOUBLY";f03f115f-2546-4bd5-a9a0-7ce595c260c4;1;ville_sans_zone
"ELEVE";6e54ffe5-a323-42ec-a53f-50bbfe69abfa;1;ville_sans_zone
"Morokro";decbba52-affd-4f65-a776-b42557304c70;1;ville_sans_zone
"KALOUFLA";083aa155-28d9-4dd1-b21f-0ee1dfbf2168;1;ville_sans_zone
"DABOUYO 3";a0f289d8-c802-4f06-b2d5-1acc7069d86b;1;ville_sans_zone
"Dribouo";8ed3c5c9-bab9-4ecf-9267-141a925ec292;1;ville_sans_zone
"Yokoréa";2b8b9855-bd3a-4d63-8865-c7295c02e76c;1;ville_sans_zone
"DOKA";fe0a5d09-26ab-4fd5-b98a-1453726db576;1;ville_sans_zone
"DOMARO";c1513673-f158-4d58-a890-845ee7e66457;1;ville_sans_zone
"BODOCIPA";7013323f-87eb-402a-af44-a5f8e0397de4;1;ville_sans_zone
"PARA/DJOUROUTOU";b297540f-7f2f-4342-b2fd-0cc065c05ced;1;ville_sans_zone
"Kékrénou";d9fca5a5-840d-4d71-b795-b7de49989467;1;ville_sans_zone
"SENEGAL";4eb4ac1e-8874-46cc-8453-7ef416e87e67;1;ville_sans_zone
"ADJAME MAIRIE 1";d4261656-386b-4a8f-8fe0-122650af8b03;1;ville_sans_zone
"MADOGUHE";5a232c25-d03b-46dc-ba41-f67459ba5fa4;1;ville_sans_zone
"Zikisso";00fdd78d-dda7-4201-976b-f8f13b1f1ab3;1;ville_sans_zone
"Grand-Morié";25c73ce9-d42a-401b-877f-d7f200f24b4f;1;ville_sans_zone
"CITE LADE";297e2d4a-3af5-44f7-8957-84147578de6f;1;ville_sans_zone
"TIENKO";ece40a61-fac5-40ff-88d7-a48878b9c60b;1;ville_sans_zone
"TANOKRO S/P BAYOTA";95b48ba3-2660-4171-a34b-a825073b1399;1;ville_sans_zone
